Title,Rating,Image_URL
Inception,8.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Hypnotic,5.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Bullet Train,7.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Spider-Man: No Way Home,8.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Banshee,8.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Smallville,7.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ghosted,5.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Chicago Fire,8.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Prison Break,8.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Bloodhounds,8.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Buffy the Vampire Slayer,5.7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
John Wick,7.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek: Picard,7.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
American Gladiators,5.7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
65,5.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Operation Fortune: Ruse de Guerre,6.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Final Fantasy XVI,9.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Avengers: Endgame,8.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek: Discovery,7.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Andor,8.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mission: Impossible - Fallout,7.7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Heat,8.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Lord of the Rings: The Rings of Power,7.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Arrow,7.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Gotham Knights,5.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Blade Runner 2049,8.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Transformers,8.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
"Love, Death & Robots",8.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Hunger Games,7.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Warlock,7.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Misanthrope,6.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Skull Island,6.7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Top Gun,6.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Avatar: The Last Airbender,9.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Trek,7.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Lord of the Rings: The Fellowship of the Ring,8.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Aliens,8.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mission: Impossible,7.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
